Text,Timestamp,ID,Retweets,Likes
Chocolate Covered Almond Toffee. #CompleteRecipes #recipe #recipes #food #foodgasm #cleaneating #healthyfood #healthy #healthyrecipes #chocolate #toffeehttps://www.pinterest.com/pin/46936021102313599/ …,3:35 AM - 13 Apr 2018,984741913008975872,0,1
"you know in some countries chocolate covered almonds are considered a delicacy

and then in other countries step children are often abused",1:02 AM - 13 Apr 2018,984703386854375429,0,0
nooo it was a mess too clean lol I fell asleep eating chocolate covered almonds then they melted on my body in my sleep,10:08 PM - 12 Apr 2018,984659555740147712,0,2
Photo shoot tomorrow then bring chocolate covered almonds #careergoals,8:45 PM - 12 Apr 2018,984638663366725633,0,1
"My food journal today: 
3 petit fours 
Banana 
Entire can of chocolate covered almonds 

I feel good",8:42 PM - 12 Apr 2018,984637902192889858,0,11
"Chocolate-covered almonds
Agatha Christie
My heated mattress pad
= my happy place",7:53 PM - 12 Apr 2018,984625639394332672,0,1
These chocolate/coconut covered almonds from #TraderJoes are life!!,6:59 PM - 12 Apr 2018,984611963283091456,0,1
hold up they have chocolate covered almonds ?!?!,6:47 PM - 12 Apr 2018,984609009855590400,0,0
I’m thankful to live in a time when dark chocolate covered almonds are considered healthy,5:11 PM - 12 Apr 2018,984584719277883392,0,6
Chocolate covered almonds ,3:51 PM - 13 Apr 2018,984927038694883328,0,0
RT @CompleteRecipes: Chocolate Covered Almond Toffee. #CompleteRecipes #recipe #recipes #food #foodgasm #cleaneating #healthyfood #healthy #healthyrecipes #chocolate #toffeehttps://www.pinterest.com/pin/46936021102313599/ …,3:53 AM - 13 Apr 2018,984746359176814592,0,1
“would u like some chocolate covered almonds?”,10:19 PM - 12 Apr 2018,984662452288634880,0,1
You’re telling me you can’t eat chocolate covered almonds?!?  that sucks lol,6:07 PM - 12 Apr 2018,984598795324403713,0,0
"Bring back the chocolate and almond covered ice cream bars, @costco. I’ll gladly pay fair market or higher! #costco",5:42 PM - 12 Apr 2018,984592725847703552,0,0
We have chocolate-covered almonds at work and i just filmed.,3:23 PM - 14 Apr 2018,985282360013881352,0,0
Really wanna be skinny.. really wanna eat this whole bag of chocolate covered almonds #TheStruggleContinues,3:09 PM - 14 Apr 2018,985278775624683522,0,2
"Just a few of the amazing cakes that I make at Burney's sweets and more of Hampstead!

Almond Joy: Chocolate cake, coconut buttercream, fudge icing, slivered almonds, coconut and chocolate covered almonds.

Reese... https://www.facebook.com/SimpleDoneRight/posts/2144999745731288 …",12:17 PM - 14 Apr 2018,985235721949712384,0,0
Dark chocolate covered almonds >>>>>>,11:47 AM - 14 Apr 2018,985228063678939136,0,1
just a life update: I haven’t gotten out of bed and I’ve only ate chocolate covered almonds today,11:45 AM - 14 Apr 2018,985227576233938944,0,4
Need some chocolate covered almonds rn,10:49 AM - 14 Apr 2018,985213397179424768,4,2
can someone explain to me WHAT is WHEAT STARCH doing in my chocolate covered almonds??? what part of almonds or chocolate requires WHEAT starch and WHEN will i learn to READ the damn labels...,8:14 AM - 14 Apr 2018,985174352613330944,0,0
The perfect snack don't you think? Chocolate covered almonds.  Avail in milk or dark chocolate here @shopSQUAREONEpic.twitter.com/uUL0I3p48r,7:14 AM - 14 Apr 2018,985159442290348032,1,5
"Great day to shop at Allo! Chocolate for your chocolaty needs! Crispy Almond Butter Toffee is our Sweet of the Week. Today, we also have fresh dipped chocolate covered strawberries. They will not last long!",6:12 AM - 14 Apr 2018,985143738216349696,0,0
I got a chocolate bar that I thought was uh dronningmandler (chocolate covered almonds) but it’s actually pariserlinser which are mint so i’m really upset with myself,4:06 AM - 14 Apr 2018,985112101034262528,0,0
I ate 2 bags of chocolate covered almonds in the last 2 days and I already know I’m going to regret that... but whatever.,2:28 AM - 14 Apr 2018,985087358792941569,0,1
Ok gawd. I want some worlds finest chocolate covered almonds.  ,10:00 PM - 13 Apr 2018,985019989441830912,0,0
"the office, my fuzzy blanket and chocolate covered almonds are the move rnnnn",9:25 PM - 13 Apr 2018,985011112813920256,0,1
I wish  I’m in bed drinking water eating chocolate covered almonds.,7:20 PM - 13 Apr 2018,984979686563426304,0,2
I think I have some chocolate covered almonds in my work bag ,7:19 PM - 13 Apr 2018,984979452483514370,0,0
Mango pico is my fave. And chocolate covered almonds,5:55 PM - 13 Apr 2018,984958209109692416,0,0
i love chocolate covered almonds,5:00 PM - 13 Apr 2018,984944533262819334,0,1
can’t  stop eating chocolate covered almonds and chips sos,3:12 PM - 14 Apr 2018,985279568163561473,0,0
Chocolate covered almonds>>>>,2:31 PM - 14 Apr 2018,985269436973281280,0,3
And you slept on some chocolate covered almonds... pic.twitter.com/5nPs9uBQOd,11:05 AM - 14 Apr 2018,985217617177776130,0,3
"Medicis Almonds Covered with Chocolate
متوفر خدمة توصيل   فرع 1 مجمع المهلب -… https://www.instagram.com/p/BhjlXlOliiU/ ",8:32 AM - 14 Apr 2018,985178950442848257,0,0
I love chocolate covered almonds. ,9:36 PM - 13 Apr 2018,985014005612863488,0,0
Sign me up... I settled for a chocolate covered almonds...,9:17 PM - 13 Apr 2018,985009043247738880,0,1
dark chocolate covered almonds >,4:52 PM - 15 Apr 2018,985667300685697025,0,1
"I wasn't, got my usual popcorn and chocolate covered almonds.",4:27 PM - 15 Apr 2018,985660965776576517,0,0
"Things I need to survive the next two weeks
Lots of caffeine in coffee or green tea
Lots of snacks
Banana chips, trail mix made of dried cranberries dark chocolate covered espresso beans and almonds and more chocolate 
And I have to wait a week till my next pay check...help",2:57 PM - 15 Apr 2018,985638260469895170,0,4
I neeeeeeed chocolate covered almond chocolate,2:32 PM - 15 Apr 2018,985631954316886016,0,0
"Just bought a new journal, dark chocolate covered almonds, and a red bull. My type of self care.",11:55 AM - 15 Apr 2018,985592543797829632,0,2
Chocolate covered almonds are the loml,11:23 AM - 15 Apr 2018,985584508492754945,0,2
"I'm munching on chocolate covered almonds. #bcpoli 

*Waiting for the show.https://twitter.com/lizaCKNW980/status/985550791527170048 …",9:12 AM - 15 Apr 2018,985551396580745217,1,3
"I know Kelendria Trene Rowland probably tastes like them chocolate covered almonds that you steal/eat while you’re at the grocery store, that you never actually buy… pic.twitter.com/YScefh6BrG",8:41 AM - 15 Apr 2018,985543708958322688,1,1
Who says all desserts are unhealthy? A study showed consuming dark chocolate covered almonds daily was linked with improvements in lipid levels that are favorable for #hearthealth. Choose ones that have a high cacao content & are low in #sugar. https://buff.ly/2qrX7vT pic.twitter.com/3QtHpHeKaI,5:10 AM - 15 Apr 2018,985490443965222913,23,41
"me: takes a nap and sets alarms for beychella
also me: doesn’t wake up until AFTER the bitch is done and binges on dark chocolate covered almonds to make up for it but now feels a lil icky bc i binged on dark chocolate covered almonds pic.twitter.com/3bcBabx2Xh",1:51 AM - 15 Apr 2018,985440586294595585,0,3
Long day... was greeted at the door by the cat and the first thing I saw was the jar of milk and dark chocolate covered almonds courtesy of Lisa... that and a bottle of Perrier should be dinner... then bed ... https://www.facebook.com/gail.rosenthal/posts/10156268816833810 …,10:49 PM - 14 Apr 2018,985394728211542016,0,0
"I have artichoke/spinach dip with some pita chips, dark chocolate covered almonds, and some Cesar peasnap crisps . I was gonna make this margarita flatbread pizza but idk that’s just greedy",8:56 PM - 14 Apr 2018,985366116699553792,0,27
"Luke: I'm gonna kill whoever didn't restock the chocolate covered almonds from the last trip...
Matt: Luke.... did you seriously eat all my favourite protein cookies after I said not to...?! I will hurt you...",7:54 PM - 14 Apr 2018,985350619962617856,0,2
FUCK they’re out of chocolate covered almonds,7:36 PM - 14 Apr 2018,985346193579528192,0,2
New @chocolovexo #darkchocolate covered salted #almonds This is my Saturday #chocolatesnack What's yours? Just the right amount of salt. Thank you #chocolove #spon #chocolate #chocoholics #chocolatelovers #chocolateaddicts #saltysweetpic.twitter.com/HW9kg82SRM,6:16 PM - 14 Apr 2018,985325907869970433,0,2
my man bringing me the chocolate-covered vanilla ice cream bar WITHOUT the fuckin almonds as a surprise after work pic.twitter.com/ptgdcFMuPx,5:24 PM - 14 Apr 2018,985312828855848962,0,18
Dark chocolate covered almonds go as well.,4:47 PM - 15 Apr 2018,985666053584941056,0,0
Chocolate covered almonds.,12:05 AM - 15 Apr 2018,985413912047902720,0,0
